index,date,route_id,route_name,direction,stop_id,stop_name,ons,offs,vehicle_id
1,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139050,JONESBORO RD SE/WHATLEY ST SE,2,3,2409
2,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102148,MITCHELL ST SW/PRYOR ST SW,1,,2409
3,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102150,CAPITOL SQ SW/CAPITOL PL SW,1,,2409
4,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115172,HANK AARON DR/VANIRA AVE SE,,,2409
5,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125060,MCDONOUGH BLVD SE/MARCY ST SE,,,2409
6,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139008,JONESBORO RD SE/JORDAN ST SE,,1,2409
7,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139010,BROWNS MILL RD SE/LAQUITA DR SE,,,2409
8,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102262,MITCHELL ST SW/CENTRAL AVE SW,,,2409
9,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115204,HANK AARON DR SW/LITTLE ST SE,,1,2409
10,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102270,BROAD ST/ALABAMA ST (FIVE POINTS STATION),27,,2409
11,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159254,HUTCHENS RD SE/DONNEBROOK LN SE,,,2409
12,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159272,JONESBORO RD SE/SPRINGSIDE DR SE,,,2409
13,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159274,JONESBORO RD SE/SPRINGSIDE DR,,,2409
14,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159276,JONESBORO RD SE/2961,,,2409
15,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115192,HANK AARON DR/RALPH D ABERNATHY BLVD,,1,2409
16,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125028,WEYMAN AVE SW/RIDGE AVE SW,,2,2409
17,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125072,JONESBORO RD SE/MOURY AVE SE,,,2409
18,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,150069,JONESBORO RD SE/CLEVELAND AVE SE,,3,2409
19,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125244,WEYMAN AVE/HANK AARON DR,,1,2409
20,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,138006,JONESBORO RD SE/LETHEA ST SE,,3,2409
21,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139014,BROWNS MILL RD SE/2039,,,2409
22,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115176,HANK AARON DR/964,,,2409
23,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115164,HANK AARON DR/ORMOND ST SE,,,2409
24,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115222,HANK AARON DR SW/BILL LUCAS DR SW,,,2409
25,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115168,HANK AARON DR/ATLANTA AVE SE,0,0,2409
26,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125030,RIDGE AVE SW/PULLIAM ST,,3,2409
27,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115194,CAPITOL AVE/FULTON ST,,,2409
28,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125062,MCDONOUGH BLVD SE/JONESBORO RD SE,,,2409
29,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125064,JONESBORO RD SE/GAMMON AVE SE,,,2409
30,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125066,JONESBORO RD SE/MARTIN AVE SE,,,2409
31,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125067,JONESBORO RD SE/THIRKIELD AVE SE,,1,2409
32,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,150010,JONESBORO RD SE/MIDWAY ST SE,,1,2409
33,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159250,HUTCHENS RD SE/565,,,2409
34,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159252,HUTCHENS RD SE/KING SMITH RD SE,,,2409
35,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115180,HANK AARON DR SW/HAYGOOD AVE SW,,2,2409
36,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139012,BROWNS MILL RD SE/ADELLE ST SE,,,2409
37,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125068,JONESBORO RD SE/BROWN AVE SE,,,2409
38,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159246,HUTCHENS RD SE/JONESBORO RD SE,1,1,2409
39,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125070,JONESBORO RD SE/MELDON AVE SE,,1,2409
40,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159410,HUTCHENS RD/KATOMARICK DR,,,2409
41,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212075,JONESBORO RD/GRACE DR,1,2,2409
42,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212076,JONESBORO RD/FOREST AVE,,,2409
43,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212077,JONESBORO RD/MARIE ST,,,2409
44,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212204,HUTCHENS RD SE/860,,,2409
45,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167002,HUTCHENS RD/FORREST PARK RD,,,2409
46,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167004,FORREST PARK RD SE/PINE FOREST DR,,,2409
47,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167006,FORREST PARK RD SE/EISENHOWER RD SE,1,,2409
48,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167008,FORREST PARK RD SE/HENDON RD,,,2409
49,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167010,FORREST PARK RD SE/FOREST VALLEY DR,,,2409
50,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167012,CONLEY RD SE/900,,,2409
51,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212352,FOREST PKY/ASH ST,,,2409
52,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212353,FOREST PKY/BARTLETT DR,,0,2409
53,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212581,FOREST PKY/MAPLE DR,,,2409
54,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167016,CONLEY RD SE/JONESBORO RD SE,0,0,2409
55,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167034,FORREST PARK RD/CONLEY RD,,1,2409
56,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,210010,HUTCHENS RD/860,,,2409
57,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212584,MAIN ST/JONESBORO RD,,,2409
58,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212585,MAIN ST/PHILLIPS DR,,1,2409
59,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212586,MAIN ST/COLLEGE ST,,,2409
60,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212675,JONESBORO RD SE/HARPER RD SE,,,2409
61,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212835,JONESBORO RD SE/CLAIRE DR SE,,,2409
62,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,210601,BROWNS MILL RD/HARPER RD,,1,2409
63,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211148,HANK AARON DR SE/BASS ST SE,,,2409
64,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211169,UNIVERSITY AVE SW/71,,,2409
65,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211194,JONESBORO RD SE/CONSTITUTION RD SE,,,2409
66,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211206,BROWNS MILL RD SE/GREENDALE DR SE,,,2409
67,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211225,HUTCHENS RD SE/916,,,2409
68,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211309,UNIVERSITY AVE SW/PRYOR RD SW,,,2409
69,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211406,HARPER RD SE/BURROUGHS AVE SE,,3,2409
70,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211407,JONESBORO RD SE/MCWILLIAMS RD SE,,,2409
71,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,901265,PEACHTREE ST/MARTIN L KING JR DR,,,2409
72,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,211650,JONESBORO RD SE/2491,,,2409
73,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212069,JONESBORO RD/RUSKIN DR,,,2409
74,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212070,JONESBORO RD/SCOTT RD,,,2409
75,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212071,JONESBORO RD/CONLEY RD,,1,2409
76,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212072,JONESBORO RD/COLLEGE ST,,,2409
77,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212073,JONESBORO RD/ERNEST DR,,,2409
